Año;Puesto;Vuelta;Organización Política;Candidato;%_votos_validos;Color asociado (recomendación)
1980;PRIMERO;PRIMERA;ACCIÓN POPULAR;Fernando Belaúnde;45.37%;Plomo
1980;SEGUNDO;PRIMERA;APRA;Armando Villanueva;27.40%;Rosado
1980;TERCERO;PRIMERA;PPC;Luis Bedoya Reyes;9.57%;
1980;CUARTO;PRIMERA;PRT;Hugo Blanco;3.90%;
1985;PRIMERO;PRIMERA;APRA;Alan García;45.75%;Rosado
1985;SEGUNDO;PRIMERA;IZQUIERDA UNIDA;Alfonso Barrantes;21.26%;Rojo
1985;TERCERO;PRIMERA;CONVERGENCIA DEMOCRATICA;Luis Bedoya Reyes;10.24%;
1985;CUARTO;PRIMERA;ACCIÓN POPULAR;Javier Alva Orlandini;6.25%;Plomo
1990;PRIMERO;PRIMERA;FREDEMO;Mario Vargas Llosa;27.61%;Azul
1990;SEGUNDO;PRIMERA;CAMBIO 90;Alberto Fujimori;24.63%;Naranja
1990;TERCERO;PRIMERA;APRA;Luis Alva Castro;19.17%;Rosado
1990;CUARTO;PRIMERA;IZQUIERDA UNIDA;Henry Pease;6.97%;Rojo
1990;PRIMERO;SEGUNDA;CAMBIO 90;Alberto Fujimori;56.53%;Naranja
1990;SEGUNDO;SEGUNDA;FREDEMO;Mario Vargas Llosa;33.92%;Azul
1995;PRIMERO;PRIMERA;CAMBIO 90;Alberto Fujimori;64.42%;Naranja
1995;SEGUNDO;PRIMERA;UNION POR EL PERÚ;Javier Pérez de Cuéllar;21.81%;Rojo
1995;TERCERO;PRIMERA;APRA;Mercedes Cabanillas;4.11%;Rosado
1995;CUARTO;PRIMERA;CODE - PAÍS POSIBLE;Alejandro Toledo;3.24%;Verde
2000;PRIMERO;PRIMERA;PERÚ 2000;Alberto Fujimori;49.88%;Naranja
2000;SEGUNDO;PRIMERA;PERÚ POSIBLE;Alejandro Toledo;40.24%;Verde
2000;TERCERO;PRIMERA;SOMOS PERÚ;Alberto Andrade;3.01%;Azul
2000;CUARTO;PRIMERA;AVANCEMOS;Federico Salas;2.23%;
2000;PRIMERO;SEGUNDA;PERÚ 2000;Alberto Fujimori;74.33%;Naranja
2000;SEGUNDO;SEGUNDA;PERÚ POSIBLE;Alejandro Toledo;25.67%;Verde
2001;PRIMERO;PRIMERA;PERÚ POSIBLE;Alejandro Toledo;36.52%;Verde
2001;SEGUNDO;PRIMERA;APRA;Alan García;25.78%;Rosado
2001;TERCERO;PRIMERA;UNIDAD NACIONAL;Lourdes Flores;24.30%;Verde claro
2001;CUARTO;PRIMERA;FRENTE INDEPENDIENTE MORALIZADOR;Fernando Olivera;9.85%;Morado
2001;PRIMERO;SEGUNDA;PERÚ POSIBLE;Alejandro Toledo;53.08%;Verde
2001;SEGUNDO;SEGUNDA;APRA;Alan García;46.92%;Rosado
2006;PRIMERO;PRIMERA;UNION POR EL PERÚ;Ollanta Humala;30.62%;Rojo
2006;SEGUNDO;PRIMERA;APRA;Alan García;24.32%;Rosado
2006;TERCERO;PRIMERA;UNIDAD NACIONAL;Lourdes Flores;23.81%;Verde claro
2006;CUARTO;PRIMERA;ALIANZA POR EL FUTURO;Martha Chávez;7.43%;Naranja
2006;PRIMERO;SEGUNDA;APRA;Alan García;52.63%;Rosado
2006;SEGUNDO;SEGUNDA;UNION POR EL PERÚ;Ollanta Humala;47.38%;Rojo
2011;PRIMERO;PRIMERA;GANA PERÚ;Ollanta Humala;31.70%;Rojo
2011;SEGUNDO;PRIMERA;FUERZA 2011;Keiko Fujimori;23.55%;Naranja
2011;TERCERO;PRIMERA;ALIANZA POR EL GRAN CAMBIO;Pedro Pablo Kuczynski;18.51%;Rosado
2011;CUARTO;PRIMERA;PERÚ POSIBLE;Alejandro Toledo;15.63%;Verde
2011;PRIMERO;SEGUNDA;GANA PERÚ;Ollanta Humala;51.45%;Rojo
2011;SEGUNDO;SEGUNDA;FUERZA 2011;Keiko Fujimori;48.55%;Naranja
2016;PRIMERO;PRIMERA;FUERZA POPULAR;Keiko Fujimori;39.61%;Naranja
2016;SEGUNDO;PRIMERA;PERUANOS POR EL KAMBIO;Pedro Pablo Kuczynski;20.91%;Rosado
2016;TERCERO;PRIMERA;FRENTE AMPLIO;Verónika Mendoza;18.62%;Verde
2016;CUARTO;PRIMERA;ACCIÓN POPULAR;Alfredo Barnechea;6.93%;Plomo
2016;PRIMERO;SEGUNDA;PERUANOS POR EL KAMBIO;Pedro Pablo Kuczynski;50.12%;Rosado
2016;SEGUNDO;SEGUNDA;FUERZA POPULAR;Keiko Fujimori;49.88%;Naranja
2021;PRIMERO;PRIMERA;PERÚ LIBRE;Pedro Castillo;18.92%;Rojo
2021;SEGUNDO;PRIMERA;FUERZA POPULAR;Keiko Fujimori;13.41%;Naranja
2021;TERCERO;PRIMERA;RENOVACIÓN POPULAR;Rafael López Aliaga;11.75%;Celeste
2021;CUARTO;PRIMERA;AVANZA PAÍS;Hernando de Soto;11.63%;Azul
2021;PRIMERO;SEGUNDA;PERÚ LIBRE;Pedro Castillo;50.13%;Rojo
2021;SEGUNDO;SEGUNDA;FUERZA POPULAR;Keiko Fujimori;49.87%;Naranja
